Speaker,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,,,,,,,
0,13.90022626,-9.1389719,-18.71324798,-9.910456594,-17.57554653,-6.616019643,-2.492965302,-0.202094965,-2.29363285,-6.681819307,-4.462754297,-7.423830283,3.314476498,13.90022626,,0.970329801,-0.637962046,-1.306311268,-0.691816895,-1.226892012
14,12.69747676,-12.5091141,-17.46765613,-7.223707496,-17.50191352,-2.997087355,-16.99417699,-4.133619542,-0.045539873,-2.611474592,6.243238173,-6.179526838,-0.863926057,12.69747676,,0.886369752,-0.873220764,-1.219360533,-0.504263638,-1.22175193
4,12.52811243,-12.67553161,-14.36903311,-10.04335056,-17.4118524,-7.818493574,-11.9472865,2.169187273,-4.448712733,-0.763918957,-3.868116121,-2.523930495,1.207183225,12.52811243,,0.874546976,-0.884837832,-1.00305569,-0.701093793,-1.215465055
6,12.97078802,-14.02442024,-8.262642764,-8.988330242,-17.18462594,-10.06906703,-5.070134157,-6.656676763,4.84771592,-11.02923213,-0.653070232,-8.172201974,0.721020611,12.97078802,,0.905448726,-0.978999381,-0.576788346,-0.62744624,-1.199603111
2,13.91617953,-10.07599184,-15.41288533,-7.022698552,-17.13819003,-3.171762297,-3.333997589,-13.17570868,4.957476277,3.469594238,-2.173407627,-0.244802757,-10.47278538,13.91617953,,0.971443447,-0.703372375,-1.075923634,-0.490231854,-1.196361571
8,13.33574464,-14.71304035,-7.293764637,-4.466913112,-17.07547599,-6.777445029,-8.095538247,-7.349697334,1.921425466,-0.955220309,0.208944651,-4.242757157,-7.444027977,13.33574464,,0.930925166,-1.027069722,-0.5091541,-0.311820745,-1.191983707
6,12.89548264,-9.004072685,-7.473080483,-11.11210234,-17.06682229,-12.48128328,-5.254456057,-4.657148266,4.358887274,-15.03773158,-2.432950731,-7.87781861,-2.670231615,12.89548264,,0.900191901,-0.628545169,-0.521671559,-0.775699895,-1.19137962
12,14.83880698,-9.610602581,-11.29922203,-11.33527545,-16.97158982,3.089401984,-16.84245105,-6.951631017,-2.102876867,-9.952274331,-1.507450089,0.824446358,-6.526700687,14.83880698,,1.035849083,-0.670885057,-0.788762115,-0.791278888,-1.184731749
3,13.66752406,-17.44906682,0.109795821,-7.721789258,-16.81971641,-5.362951806,-13.68484121,2.142652252,-12.20265085,-2.284765239,-3.264943165,-5.492706279,0.260830196,13.66752406,,0.954085614,-1.218062873,0.007664491,-0.539033113,-1.174129958
14,13.10947865,-10.54382338,-15.34272019,-5.107861845,-16.81541577,-4.504262326,-12.19104563,-6.723321943,3.03547392,-2.036706175,4.508355199,-9.395018175,2.176501231,13.10947865,,0.91513027,-0.736030181,-1.071025633,-0.356563302,-1.173829745
3,11.87585339,-9.786575012,-8.567026517,-12.22213507,-16.73511676,-4.417237694,-10.19474448,5.227711176,-10.40266521,-5.672735639,-5.16571094,-6.824565354,-2.617394987,11.87585339,,0.829014884,-0.683169123,-0.59803639,-0.853187687,-1.168224331
1,13.73774584,-8.004492443,-11.85593511,-3.838849071,-16.546758,-12.59076144,-10.07623356,-5.145289979,-3.179222376,-3.987064234,-0.053713032,-0.361768963,-5.19065637,13.73774584,,0.958987569,-0.558767707,-0.827624453,-0.267977628,-1.155075615
5,14.14163047,-8.91718422,-11.29833102,-2.876412766,-16.375084,-16.27510238,-8.367763205,-1.445418105,-0.926003677,-5.508198113,6.851719817,-11.38773823,3.369532557,14.14163047,,0.987181448,-0.622479766,-0.788699917,-0.200793064,-1.143091609
14,12.9572568,-7.225095848,-15.84035084,-2.060545439,-16.30441282,-5.267887133,-18.41717067,-13.99352082,-2.691045271,-6.678925522,3.649095589,-4.956725668,0.221141843,12.9572568,,0.904504155,-0.504360554,-1.105763618,-0.143840007,-1.138158283
4,12.68334029,-18.28297685,-8.105574362,-7.03115769,-16.29134911,-5.373478835,-15.30283243,7.512158587,-2.135643871,-0.078431195,-4.241610538,-2.256499534,0.699774033,12.68334029,,0.885382931,-1.276275433,-0.565823909,-0.490822359,-1.137246347
10,14.49141332,-11.76224432,-14.62822334,-1.93633058,-16.11268205,-11.97125828,-5.654658601,-11.48548694,3.227628994,-7.165472824,-1.967982756,4.670207947,-10.10971625,14.49141332,,1.011598656,-0.821084202,-1.021148921,-0.13516897,-1.124774178
4,12.61340493,-11.06049157,-10.52091763,-14.13526209,-16.03279207,-5.568662196,-10.88552877,1.872234724,-0.173716793,-1.652703589,-6.86870682,-0.109105437,-1.825281878,12.61340493,,0.880500969,-0.772097114,-0.734431204,-0.986736892,-1.119197317
10,15.50544391,-5.612766717,-17.06466228,-4.208529213,-15.88758722,-9.676206075,-12.25790715,-11.15802282,4.484964308,-7.763419674,-5.158862938,7.070962072,-10.91949851,15.50544391,,1.082384849,-0.391809076,-1.191228837,-0.293783802,-1.109061037
4,12.81743465,-13.81938634,-8.460668311,-13.1427812,-15.83340171,-4.835360673,-13.97135926,2.241432832,-0.984459453,0.013928971,-3.446630179,-4.620601807,-0.633188051,12.81743465,,0.894743624,-0.964686628,-0.590611868,-0.917455013,-1.105278522
14,11.73130339,-6.272303338,-12.98735015,-2.548417538,-15.66567064,-9.404044486,-18.75252213,-11.39610065,-0.937612059,-8.30674745,2.725210322,-6.315014947,0.365696134,11.73130339,,0.818924316,-0.437849193,-0.906604875,-0.177896779,-1.093569759
8,13.93118864,-10.45680606,-10.29437731,-5.104764345,-15.57643557,-11.62332889,-6.698438196,-10.48692916,-0.000312292,-2.220399006,2.449708262,-0.382126507,-11.12287737,13.93118864,,0.972491185,-0.729955783,-0.718617158,-0.356347075,-1.087340547
8,12.04586324,-18.86574817,-9.832138034,13.66071446,-14.87891485,-15.18154446,-11.07358314,-7.59236585,-3.339187241,-13.65161761,5.028617606,-4.565540853,-7.835655808,13.66071446,,0.840882721,-1.316956813,-0.68634973,0.953610258,-1.038648884
3,13.06337093,-11.66927423,-8.568110208,-10.93631653,-14.65134841,-12.06985844,-15.73212834,7.386440957,-11.44421011,-5.380607567,-6.490917122,-4.689903674,-4.061417575,13.06337093,,0.911911639,-0.814594261,-0.598112039,-0.763428857,-1.022763207
10,14.41627955,-4.808479612,-19.79258707,-8.009998258,-14.55520228,-14.20372329,-10.61259463,-10.19911982,8.732240854,-6.011786796,-1.672446098,1.820413546,-9.316121576,14.41627955,,1.006353811,-0.335664397,-1.381656436,-0.559152051,-1.016051557
5,13.31048738,-11.51817711,-10.91552253,-5.221561162,-14.28895561,-11.35298283,-10.58217036,-1.661294475,1.726098769,-6.646132996,1.901874617,-9.535622354,3.116260265,13.31048738,,0.929162039,-0.80404666,-0.761977295,-0.364500283,-0.997465739
2,12.97537985,-10.10913497,-12.42551339,-5.920293874,-14.21071629,-11.87996438,-4.776217472,-12.13134607,0.671595115,-0.359498278,-4.757888057,1.711547956,-7.601515799,12.97537985,,0.905769267,-0.70568599,-0.867384869,-0.413276552,-0.992004105
8,13.96917507,-15.88212613,-8.743102017,1.373100423,-13.9232001,-9.557584247,-9.229654887,-10.15981779,-0.153864692,-4.277167348,-1.356325624,-2.023409931,-6.723302077,13.96917507,,0.975142894,-1.108679816,-0.610327651,0.095851696,-0.971933531
0,14.37978415,-14.31155503,-13.06042757,-11.02872421,-13.75296106,-5.331499457,-6.860221745,1.297835033,1.446885231,-9.117818456,1.568743067,-8.728710612,2.460812205,14.37978415,,1.003806185,-0.999043331,-0.911706173,-0.769879538,-0.960049694
13,14.29914123,-9.925492553,-17.22340344,-14.29658883,-13.43194775,-6.613805449,-6.91900599,-0.350584494,-2.329730616,-0.892943214,-1.700908603,-2.772687788,-15.00423363,14.29914123,,0.998176764,-0.692866507,-1.202310043,-0.997998589,-0.937640794
0,13.34291341,-14.22927921,-14.6046111,-6.850769383,-13.2672277,-8.36546989,-5.043717201,-0.093409277,-0.920965516,-9.27401401,-4.080461959,-4.695364111,-2.305618365,13.34291341,,0.931425595,-0.993299922,-1.019500627,-0.478230035,-0.926142221
3,13.69814858,-14.09747191,-3.127114376,-6.74305491,-13.25117277,-8.626532602,-9.119342538,-1.351039283,-8.598356779,-8.190879916,-3.82295295,-3.416113811,-4.727208951,13.69814858,,0.956223412,-0.984098881,-0.218293732,-0.470710836,-0.925021478
1,13.06355822,-8.412461962,-17.26383248,-3.598380969,-13.22766712,-13.53423228,-14.01579639,-3.07312787,1.294288432,2.247832966,-1.690932865,-1.337658162,-6.406176994,13.06355822,,0.911924713,-0.587246739,-1.205132264,-0.251191328,-0.923380625
10,14.52870254,-12.99347818,-13.72925266,7.360673193,-13.21398152,-15.33812849,-6.965399525,-8.22124717,-0.548689652,-10.81956689,-8.306942518,2.573509343,-13.59198047,14.52870254,,1.014201696,-0.907032653,-0.958394688,0.51382477,-0.922425277
0,13.50814562,-7.898037344,-16.41243753,-11.1290571,-13.13959234,-5.92889891,-4.212737135,-7.845999007,-0.892611303,-10.50876489,-1.299433678,-7.880427504,2.598217981,13.50814562,,0.942959921,-0.551336422,-1.145699138,-0.776883452,-0.917232409
13,13.93107884,-13.94337172,-10.44092888,-5.955609441,-13.03195543,-13.18146116,-7.367240191,-8.787863802,2.342396283,-7.650281704,-4.588144419,-3.661797662,-4.369196297,13.93107884,,0.97248352,-0.973341646,-0.728847449,-0.415741817,-0.909718625
14,13.19919288,-7.550511508,-20.08043032,0.029455741,-13.01087155,-4.530485251,-26.60918864,-4.993323279,3.571583735,-5.712519011,1.14817711,-5.964567137,1.473404337,13.19919288,,0.92139293,-0.527076768,-1.401749842,0.00205621,-0.908246828
1,13.04106003,-10.89853969,-9.007226421,-0.196884721,-12.71644267,-18.55344574,-14.81086823,-2.895855135,-5.138568975,-6.203018668,-2.7803139,0.935296332,-0.755146775,13.04106003,,0.910354188,-0.760791778,-0.628765321,-0.013743885,-0.887693701
6,12.90406517,-7.786945204,-16.09123875,-10.6810105,-12.71194462,-13.88551739,-0.140000541,-6.227240819,6.991270555,-13.00525939,-4.439662105,-8.085292493,0.651133834,12.90406517,,0.90079102,-0.543581439,-1.123277291,-0.745606769,-0.887379706
1,12.81532551,-12.23409227,-9.425568068,-1.977449816,-12.5123737,-11.38505752,-8.558920641,-4.426405519,-8.639558493,-5.840611342,-2.498719775,0.087641584,-7.499286899,12.81532551,,0.894596392,-0.85402238,-0.657968397,-0.138039371,-0.873448306
2,12.14431988,-6.467069929,-10.60925044,-3.376924541,-12.3798722,-16.04767108,-4.451414134,-15.13793715,2.393926872,-3.974319917,-9.141914688,3.106667008,-7.506088629,12.14431988,,0.84775566,-0.451445218,-0.740597432,-0.235732171,-0.864198805
5,13.10003477,-12.83564796,-6.849090149,-10.25805463,-12.33694977,-11.42487791,-6.561728506,-4.115449322,-4.694749664,-3.151755502,4.17611086,-11.49670342,3.7587133,13.10003477,,0.914471023,-0.896015036,-0.478112813,-0.716081589,-0.86120253
5,13.35575109,-13.04567927,-7.551407934,-8.362701239,-12.12628929,-14.13454583,-8.501394877,-0.710723979,1.547582129,-3.775218238,3.289075045,-9.060324142,3.80275841,13.35575109,,0.932321752,-0.910676642,-0.527139344,-0.583773104,-0.846497003
13,14.34360404,-13.33840829,-9.553805161,-10.01029677,-12.08053435,-11.93465102,-11.32760425,-8.573056803,5.139881315,-5.191684014,-5.05263505,-4.033374198,-4.531390011,14.34360404,,1.001280569,-0.931111107,-0.666920213,-0.698786415,-0.843302999
6,12.90819989,-15.63150916,-5.455973824,-12.91961145,-12.03604385,-8.926164417,-2.362642195,-5.407672856,2.588684811,-7.578914282,-3.513018141,-5.300293213,-1.15974303,12.90819989,,0.901079651,-1.091185056,-0.380863872,-0.901876255,-0.840197261
8,13.30809395,-15.77869064,-11.13950189,-7.770579831,-11.81381079,-5.599892798,-10.60472653,-0.283951084,-3.150702804,2.34543546,1.339761864,-5.876297789,-8.287196301,13.30809395,,0.928994961,-1.101459319,-0.777612569,-0.542439025,-0.824683891
13,13.23755709,-9.963450865,-12.16551911,-5.524319738,-11.76324639,-14.11348346,-8.259185681,-9.826276428,-0.24024122,-7.204389599,-3.725835036,-0.246205854,-5.218211479,13.23755709,,0.924071011,-0.695516254,-0.84923551,-0.385634879,-0.821154154
13,13.44774866,-10.97105717,-12.93134161,-13.24097072,-11.31692032,-7.554396128,-7.894792074,-6.373010618,-0.952487718,-1.640903071,-5.456329343,-1.8923206,-5.977468636,13.44774866,,0.938743805,-0.765853988,-0.9026951,-0.924309306,-0.789997575
10,14.0520845,-12.50787779,-15.889413,-5.279853737,-10.75425103,-6.461582431,-10.64568303,-5.265762713,4.724657013,-3.970723734,-3.945074333,-0.036087264,-8.59257409,14.0520845,,0.980930533,-0.873134461,-1.109188489,-0.368569499,-0.750719454
7,13.65808096,-1.524388594,-17.3719779,-4.604998653,-10.35841367,-16.80612334,-9.214920387,-11.6543672,1.790832404,0.53296618,-9.249775719,2.352745412,-1.757694152,13.65808096,,0.953426422,-0.106412633,-1.212681545,-0.32146005,-0.723087329
7,12.75650656,-11.24092359,-15.10735521,-4.632757036,-10.15511781,-15.78607644,-0.458924019,-10.89507363,-3.797654068,2.459572301,-2.708301642,0.183869219,-2.984015765,12.75650656,,0.890490431,-0.78469249,-1.054595566,-0.323397773,-0.708895903
8,14.09546063,-15.07980589,-6.002032975,-7.783486417,-9.980083184,-7.937034096,-11.74539348,-8.339942527,-3.382360777,-0.871081343,0.523500524,-0.47257149,-6.535418559,14.09546063,,0.983958481,-1.052672437,-0.418982494,-0.543339992,-0.696677302
9,13.56797461,-7.114413259,-7.808151842,-8.839697442,-9.89969459,-10.82383374,-10.4950154,-5.032049296,-1.681474013,-7.148301111,-4.685834171,0.195568826,-4.992183357,13.56797461,,0.947136389,-0.496634161,-0.545061806,-0.617070665,-0.691065635
10,14.30586026,-8.075161625,-17.35442604,-7.345212037,-9.700552197,-10.12320217,-8.430865832,-16.58549534,4.179203262,-0.084067681,-6.043801778,8.117169046,-9.070228716,14.30586026,,0.998645798,-0.563700894,-1.211456307,-0.512745476,-0.677164149
9,12.95874771,-5.521540226,-9.224899879,-13.39365169,-9.67979306,-12.05338418,-5.717879637,-2.919532006,-3.77189821,-1.974837344,-6.442574949,0.786102026,-8.572048503,12.95874771,,0.904608231,-0.38544085,-0.6439604,-0.93496747,-0.675715021
1,12.96869475,-15.29182034,-10.01812843,-7.684034989,-9.406287966,-13.25705238,-11.30938619,-5.938418556,-2.09443049,-1.274395953,-3.18227805,-1.640056892,-3.450661523,12.96869475,,0.905302602,-1.067472479,-0.699333118,-0.53639761,-0.656622515
2,13.43035748,-1.940118727,-18.94872975,-3.942151456,-9.113961347,-22.66755095,-6.7382461,-12.62807746,-2.012042318,1.595044539,-6.240029697,3.424129263,-8.573096184,13.43035748,,0.937529783,-0.135433408,-1.322749488,-0.275188833,-0.63621614
7,12.85152429,-4.990666514,-16.27557983,-6.872582455,-8.684364085,-15.06202086,-8.59476897,-13.14186024,-0.483342534,2.959330886,-6.302875234,-1.524340506,-3.631754693,12.85152429,,0.897123311,-0.348382275,-1.136145545,-0.479752735,-0.606227346
9,12.30789119,-13.523727,-9.864913638,-9.773396557,-8.556220113,-10.45319146,-8.185591868,-4.947059841,1.41556424,-0.866363731,-3.62696598,2.328234305,-4.556661606,12.30789119,,0.859174044,-0.944047606,-0.688637689,-0.682249178,-0.59728203
9,12.03556097,-5.721482348,-6.508963202,-20.62591419,-8.296155839,1.973686859,-4.571939045,-0.688698404,-14.92709486,5.775828581,-9.940960686,-2.409657535,-6.679292584,12.03556097,,0.840163553,-0.399398163,-0.454369652,-1.439828305,-0.579127785
7,12.98245865,-9.220468962,-17.05348475,-2.897529921,-7.878369114,-15.12803442,-10.01090932,-7.392106734,0.211732861,2.877540116,-6.095517223,-0.041169443,-5.990751101,12.98245865,,0.906263415,-0.643651092,-1.190448569,-0.202267185,-0.549963446
13,13.92432897,-4.861844487,-13.86075359,-11.7002396,-7.338754141,-16.22632988,-12.71940001,-12.1550911,2.453320445,-4.781957002,-5.211975938,-3.56894043,-5.487447727,13.92432897,,0.972012333,-0.339389626,-0.967574342,-0.816755854,-0.512294672
14,12.17534034,-22.47465718,-12.38412897,-9.098569708,-7.288610187,1.304553524,-18.21964532,-8.40195372,1.561848997,-0.68328616,4.646156371,-5.761645678,-0.009197634,12.17534034,,0.849921098,-1.568883069,-0.864495957,-0.6351417,-0.508794284
7,13.41439005,-2.758229187,-13.8681528,-3.892535923,-7.074186943,-23.5390883,-7.100434374,-8.611139347,-1.968512947,1.63713913,-9.349695944,4.350314218,-7.637176045,13.41439005,,0.936415148,-0.192543051,-0.968090857,-0.271725333,-0.493826092
9,13.28941931,-7.522161598,-14.14709211,-10.96185872,-6.601020676,-14.99642934,-14.13621431,-3.06923751,5.076977561,1.611660115,-10.57796615,6.054478664,-12.49655021,13.28941931,,0.927691345,-0.525097752,-0.987562707,-0.765211874,-0.460795886
7,12.45228164,-10.74741913,-11.81011137,-3.576346983,-6.541519873,-16.17564626,-7.342688131,-9.21986354,-3.861658615,0.081538522,-3.137206939,-1.634820439,-7.932521129,12.45228164,,0.869253474,-0.750242541,-0.824425646,-0.249653206,-0.456642328
9,13.27238211,-16.04500042,-4.0984885,-13.39929482,-6.07338397,-6.98325182,-10.27011281,-1.279936467,-7.059357572,0.897130933,-5.908823008,-0.314959883,-8.008789656,13.27238211,,0.926502033,-1.120049543,-0.286102216,-0.935361399,-0.423963276
2,11.8122844,-8.685807441,-10.85728016,-4.611894593,-2.135522526,-20.73198566,-7.964713769,-8.98846932,-0.237440076,-4.577064277,-7.487257004,1.410778592,-4.710924305,11.8122844,,0.824577338,-0.606328102,-0.757911584,-0.321941433,-0.149073915
